b'Date,Open,High,Low,Close,Volume,Adj Close
2014-10-09,34.50,34.50,34.50,34.50,200,31.93709
2014-10-08,34.75,34.75,34.75,34.75,000,32.168519
2014-10-07,34.75,34.75,34.75,34.75,000,32.168519
2014-10-06,34.75,34.75,34.75,34.75,000,32.168519
2014-10-03,34.75,34.75,34.75,34.75,100,32.168519
2014-10-02,34.50,34.50,34.50,34.50,000,31.93709
2014-10-01,34.50,34.50,34.50,34.50,000,31.93709
2014-09-30,34.50,34.50,34.50,34.50,000,31.93709
2014-09-29,34.50,34.50,34.50,34.50,000,31.93709
2014-09-26,34.50,34.50,34.50,34.50,600,31.93709
2014-09-25,35.75,35.75,35.75,35.75,000,33.094231
2014-09-24,35.75,35.75,35.75,35.75,000,33.094231
2014-09-23,35.75,35.75,35.75,35.75,000,33.094231
2014-09-22,35.75,35.75,35.75,35.75,000,33.094231
2014-09-19,35.75,35.75,35.75,35.75,000,33.094231
2014-09-18,35.75,35.75,35.75,35.75,000,33.094231
2014-09-17,35.75,35.75,35.75,35.75,800,33.094231
2014-09-16,34.450001,34.450001,34.450001,34.450001,000,31.890805
2014-09-15,34.450001,34.450001,34.450001,34.450001,100,31.890805
2014-09-12,34.75,34.75,34.75,34.75,200,32.168519
2014-09-11,35.75,35.75,35.75,35.75,200,33.094231
2014-09-10,34.75,34.75,34.75,34.75,300,32.168519
2014-09-09,34.759998,34.759998,34.759998,34.759998,000,32.177774
2014-09-08,34.759998,34.759998,34.759998,34.759998,200,32.177774
2014-09-05,35.599998,35.599998,35.599998,35.599998,000,32.955373
2014-09-04,35.630001,35.630001,35.599998,35.599998,500,32.955373
2014-09-03,35.630001,35.630001,35.630001,35.630001,300,32.983147
2014-09-02,36.00,36.00,36.00,36.00,000,33.32566
2014-08-29,36.00,36.00,36.00,36.00,000,33.32566
2014-08-28,36.00,36.00,36.00,36.00,000,33.32566
2014-08-27,36.00,36.00,36.00,36.00,000,33.32566
2014-08-26,36.00,36.00,36.00,36.00,1900,33.32566
2014-08-25,35.599998,35.599998,35.599998,35.599998,1300,32.955373
2014-08-22,36.00,36.00,36.00,36.00,000,33.32566
2014-08-21,36.00,36.00,36.00,36.00,000,33.32566
2014-08-20,36.00,36.00,36.00,36.00,100,33.32566
2014-08-19,36.00,36.00,36.00,36.00,1100,33.32566
2014-08-18,36.00,36.00,36.00,36.00,300,33.32566
2014-08-15,36.00,36.00,36.00,36.00,000,33.32566
2014-08-14,36.00,36.00,36.00,36.00,000,33.32566
2014-08-13,36.00,36.00,36.00,36.00,600,33.32566
2014-08-12,36.00,36.00,36.00,36.00,000,33.32566
2014-08-11,34.900002,36.00,34.900002,36.00,3900,33.32566
2014-08-08,34.799999,34.799999,34.799999,34.799999,300,32.214803
2014-08-07,34.900002,34.900002,34.75,34.75,3000,32.168519
2014-08-06,34.900002,34.900002,34.299999,34.299999,6200,31.751947
2014-08-05,34.299999,34.799999,34.299999,34.799999,900,32.214803
2014-08-04,34.299999,34.799999,34.299999,34.799999,5300,32.214803
2014-08-01,34.299999,34.790001,34.299999,34.299999,5900,31.751947
2014-07-31,34.900002,34.900002,34.900002,34.900002,1500,32.307377
2014-07-30,34.50,34.75,34.50,34.50,2200,31.93709
2014-07-29,34.52,34.52,34.50,34.50,300,31.93709
2014-07-28,34.150002,34.150002,34.150002,34.150002,300,31.613092
2014-07-25,34.099998,34.099998,34.099998,34.099998,000,31.566804
2014-07-24,34.099998,34.099998,34.099998,34.099998,000,31.566804
2014-07-23,34.099998,34.099998,34.099998,34.099998,100,31.566804
2014-07-22,34.060001,34.060001,34.060001,34.060001,400,31.529778
2014-07-21,34.560001,34.560001,34.560001,34.560001,1000,31.992634
2014-07-18,34.57,34.57,34.57,34.57,100,32.00189
2014-07-17,34.25,34.25,34.25,34.25,000,31.705662
2014-07-16,34.25,34.25,34.25,34.25,000,31.705662
2014-07-15,34.25,34.25,34.25,34.25,900,31.409434
2014-07-14,34.25,34.25,34.25,34.25,000,31.409434
2014-07-11,34.25,34.25,34.25,34.25,300,31.409434
2014-07-10,33.900002,33.900002,33.900002,33.900002,000,31.088463
2014-07-09,33.900002,33.900002,33.900002,33.900002,000,31.088463
2014-07-08,33.900002,33.900002,33.900002,33.900002,000,31.088463
2014-07-07,34.00,34.00,33.900002,33.900002,400,31.088463
2014-07-03,33.50,33.50,33.50,33.50,000,30.721636
2014-07-02,33.50,33.50,33.50,33.50,000,30.721636
2014-07-01,33.50,33.50,33.50,33.50,000,30.721636
2014-06-30,33.50,33.50,33.50,33.50,000,30.721636
2014-06-27,33.50,33.50,33.50,33.50,200,30.721636
2014-06-26,33.25,33.25,33.25,33.25,000,30.49237
2014-06-25,33.25,33.25,33.25,33.25,200,30.49237
2014-06-24,34.75,34.75,34.75,34.75,000,31.867966
2014-06-23,33.799999,34.75,33.799999,34.75,500,31.867966
2014-06-20,34.00,34.00,34.00,34.00,000,31.180168
2014-06-19,34.00,34.00,34.00,34.00,000,31.180168
2014-06-18,33.599998,34.00,33.07,34.00,2900,31.180168
2014-06-17,33.400002,33.400002,33.369999,33.369999,200,30.602417
2014-06-16,33.400002,33.400002,33.400002,33.400002,000,30.629931
2014-06-13,33.400002,33.400002,33.400002,33.400002,000,30.629931
2014-06-12,33.73,33.73,33.400002,33.400002,1000,30.629931
2014-06-11,33.740002,33.740002,33.73,33.73,700,30.932561
2014-06-10,34.50,34.50,33.549999,33.849998,3100,31.042607
2014-06-09,34.50,34.50,34.50,34.50,000,31.6387
2014-06-06,34.50,34.50,34.50,34.50,200,31.6387
2014-06-05,33.860001,33.860001,33.75,33.75,600,30.950902
2014-06-04,34.439999,34.439999,33.860001,33.860001,500,31.05178
2014-06-03,35.099998,35.099998,35.00,35.00,200,32.097232
2014-06-02,35.200001,35.200001,35.200001,35.200001,100,32.280645
2014-05-30,35.00,35.00,35.00,35.00,100,32.097232
2014-05-29,34.59,34.59,34.59,34.59,000,31.721236
